Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
emotion	mencintai	love (v.)										abaoè [kidaik²joe]	abaoè [kidaik²joe]		abaoè														3								
abstract things	lagu cinta	love song										èhèlo	èhèboe		èhèboe	èhèboe					eehebu	hebu						meaning1891&1987K 'song'_meaning1895 'tune, melody, poem, sing'	5								
position	rendah	low										kakoeök	kakoeök		kakoeōk														3								
weather	surut	low tide												aachihi èue						e-(ʔ)oki, ẽ-(ʔ)õkĩ, kã-õkĩ				kaʔɘk	ka'ėk			note: words starting with ka- are possibly related to 'dry'	4	*qaCi	ebb	ACD	*qəti~kəti	ebb tide; evaporate, dry up	ACD	Lafeber 1922:22, Edwards 2015:94-97, Smith 2020:362	cf. *keti > kã-õkĩ, e-oki, cf. Nias oti (Lafeber 1922:21); Smith (2020:362) finds the nasalization problematic
weather	surut	low tide										kababahak²	kababahak²		kababaha(k)														3								
weather	surut	low tide																							bėkikėnah				1								
body parts	rahang bawah	lower jaw																	ea͜ũˈkĩʔ	eʔā ukĩʔĩ									2								
body parts	rahang bawah	lower jaw																	ea͜oˈkĩʔ										1								
body parts	rahang bawah	lower jaw																	ɛa͜ũkĩʔ (N)										1								
body parts	rahang bawah	lower jaw																	ea͜ũkĩʔˈʔãʔ										1								
body parts	paru-paru	lung													bŏbŏ														1								
activities	mengintai	lurk																						ʔiʔmɘ, pa-himɘ	ki'mė				2								
activities	mengintai	lurk										ööboi	ööboi																2								
activities	mengintai	lurk													(oe)pamŏ													meaning1895 'spy'	1								
weapons	golok	machete	pajih		ferdji	padjie	bai-djihie	fertjie		feitjie	pèdfie, fèdjie, fèdjie [kaïkbara]	fèdjie	pèdjie	epèiti	fèdjie, pèdjiè					epáici, epéici	ici (I)			pɘix	pėic	paic		meaning1864 'hit'_meaning1870 'saber, klewang'_meaning1987K 'kitchen knife'_note1888: first word means 'machete', second word means 'Palembang machete', third word means 'Buginese machete'_note1895: first word means 'chopper', second word means 'dagger'_note: lit. 'instrument for hitting'	15								
weapons	golok	machete					khobie													e-koʔohoi								lit. 'killer', Kähler archaic	2								
weapons	golok	machete																		e-pá-iʧi					pic			lit. 'for hitting'	2								
	terbuat dari apa?	made of what?																		adə́ha(pe)									1								
	terbuat dari apa?	made of what?																		adō									1								
	pembantu	maid																						babu	kak kiparuhuha				2								
	pembantu	maid																							hiyo yuba				1								
human objects	tiang rumah	main post (in house)													èaahai														1								
human objects	tiang rumah	main post (in house)													kobarieè														1								
human objects	tiang rumah	main post (in house)													koenă(k)														1								
	pemiliharaan	maintenance									bahapoude																	word gloss unclear	1								
	rugi	make a loss										kioha	kioha																2								
	memagari	make fence around															yarupar												1								
activities	memasang api	make fire													papărie èjobie														1								
	hal yang mengesankan	making an impression															paabuki			epaʔabuki								meaning1979 'king'_meaning1987K 'sympathy, meeting, making an impression'	2								
	orang Melayu	Malay person										èkowèk	èkowèk															lit. 'ghost'	2								
	pria	man																						hau					1								
people	laki-laki	man/male	amama			amamma	[fakka-]manie	emane	[fakka-]manie	émané	maniè, kemanie	èmani(e)	èmani(e)		èmanī		eman	mani		ẽ-mãnĩ		kakh man	kakh man	man	eman			meaning1982 'many'	17	? / *ma-RuqaNay	/ male	/ ACD	*baRani / *maRuqanay	brave, bold / male	ACD / ACD	Lafeber 1922:22 / Edwards 2015:94-97	cf. Javanese wani 'brave' (Lafeber 1922:22) / *ay > /i/ is unexpected. However, three pre-Kähler sources attest emane with expected final /e/: <èmanè> (Helfrich 1916:488), <émané> (Oudemans 1879:487), <emane> (Francis 1870 in Oudemans 1889:131); simplification of *aua > /a/; cf. *baReqaŋ > ẽ-pãã; Smith (2020:361) finds this reconstruction too irregular
	buah mangga	mango										èokio	èokio		èŏkiŏ									ʔɨki	yėki			meaning2011 'small mango'	5								
	bakau	mangrove																						ʔauaʔ	awa'				2								
quantity	banyak	many/much	moko[-dobo]			moko [doeboe]	mohkoh					mokko	mokko	mòco	mŏkŏ, mŏkŏ [èfōka]		meke			mõkõ	mõkõ	mēp	mēp	mɘk	mėk	mėk		meaning<1855&1855vdS 'wood'_meaning1987K 'much, numerous'_note<1855&1855vdS: the first element means 'many', the second element means 'goods'_note1895: meaning of second element in second word unclear but looks like 'ash'	14								
abstract things	pernikahan	marriage																			epahakaopiaʔa	kaopiaʔa							1								
abstract things	pernikahan	marriage (of a man)												pahona, mana cahoda pahona		èpa(ä)hona					epahã͜onã							meaning1916 'marry, marriage'_note1894: first word means 'marry', second word means 'take as wife'	2								
abstract things	perjanjian pernikahan	marriage agreement												chipenanau	ānāoe													meaning1895 'sign a treaty'_note: not sure if these words are related	2								
body parts	sumsum	marrow										karofie èoedoe	karopie èoeloe																2								
activities	menikah	marry				kapanano														kipaʔanõhã͜iʔĩã	ʔanõhã͜iʔĩã							meaning1987K 'marry a second woman'	2								
activities	menikahi laki-laki	marry (a man)					paharadoe														ka[ʔa]dadu, baʔadadu, baʔaradu	dadu					ba’dar	meaning1864 'marry'	2								
activities	menikahi perempuan	marry (a woman)														ma(ä)hona					ka[mã]hã͜onã	honã					pahu̇n		2								
activities	pijat (v.)	massage (v.)										fihi	pihi											piɘh	kipabia				4								
activities	pijat (v.)	massage (v.)										piori	piori																2								
human objects	tiang perahu	mast													pakoehè														1								
plants	nyamplung/bintangur	mastwood (Calophyllum tree)				aijoba					èroba	éijobĕ	éijobĕ	eióba		èie(j)oba, èie(j)obĕ				eʔíoba	[e]ʔíoba							meaning1855vdS 'k.o. wood'_meaning1891: 'kind of wood, bitangoer'_meaning1894 'wood from which they told me you could immediately get fire'_meaning1916 'certain tree species with good timber'	7								
human objects	tikar	mat													lapĕ(k)									dapiʔ	edapik			meaning1895 'sleeping mat'	3								
	mungkin	maybe												uachiua															1								
	arti	meaning										hokipakawak	hokipakawak																2								
	arti	meaning										kifĕhai	kifĕhai																2								
	campak	measles										fakoek²	pakoek²																2								
	ukuran	measure (n.)													kabakau														1								
	ukur (v.)	measure (v.)													èŏkŏĕ									kɘ̃	kė̃			meaning1895 'k.o. weight and measure'	3								
	obat	medicine									bafèlo			ehabédo	habèlĕk									ʔubeʔ	ube			note2011&2019: loanword or continuation?	5								
people	dukun	medicine man									kohèijĕ				koahaijĕ														2								
	bertemu	meet										paobak²	paobak²											paʔob	kipakob				4								
	musyawarah	meeting										panaoe	panaoe		pānāoe		panao			panãũ				pa-nauaʔ	pahnaua			meaning1891 'scold'_meaning1895 'speak'_meaning1979 'discussion'_meaning1987K 'talk (about)'	7								
	haid	menstruation										èakamie	èakamie																2								
	menyebutkan	mention										waka	waka		waka													meaning1895 'say'	3								
person	pedagang	merchant													koedŏdok														1								
	hanya	merely																		abə́hadaʔa								cf. finished	1								
abstract things	pesan	message (n.)										abaköda	abaköda	chihiua comaná															3								
onomatopoeia	mengeong	miaow													ejau														1								
position	tengah	middle										èoe	èoe	chidaho										ĩũʔũ	yũ'ũ			cf. half	5								
body parts	jari tengah	middle finger						e oe afo		éoe-afo				eu apo															3								
	jari kaki tengah	middle toe												eminuáe															1								
people	bidan	midwife													kŏhaiĕ														1								
animals	kaki seribu	millipede									kinèhou																		1								
	minus	minus										amĕnak²	amĕnak²															cf. take	2								
	cermin	mirror	koero-bakka			koroebaka																							2								
	keguguran	miscarriage																		kixo									1								
	kehilangan ; merindukan ; luput	miss (v.)										oek²oek²	oek²oek²																2								
	rindu	miss (v.)										abĕai	abĕai																2								
	salah	mistaken										kafihĕ	kafihĕ																2								
	tuan	mister										bédie	bédie																2								
	tuan	mister										koewan	koewan															loanword BI tuan?	2								
	bercampuran ; tercampur	mixed										boedajak	boedajak																2								
	mengejek	mock																						pa-hitɘi					1								
	mengejek	mock																						ʔihtɘi	pahitėi				2								
body parts	geraham	molar																		ẽ-pãã									1	?			*baRəqaŋ	molar	ACD	Edwards 2015:94-97	simplification of /aoa/ > /aa/; cf *maRuqanay > ẽ-manĩ, cf. Da'ïri barham, Lampong bihom, Malay geraham, Sundanese tjareham, Javanese bahem, Nias boha (Lafeber 1922:23)
	cetakan	mold										kaléaléa	kaléaléa																2								
	uang	money																						dupi	dupi			note2011: loanword duit?	2								
	uang	money																						iuk	iyuk				2								
	uang	money																							eyuk				1								
animals	biawak	monitor lizard									lahio				lahiejŏ													meaning1888 'iguana'	2								
	musim	monsoon													dakŏha														1								
time	bulan (waktu)	month													kaho kanoehā(k)													cf. moon	1								
celestial objects	bulan	moon			kanoea		kanoeah	ekanoa		ekanoa		èkanoa	èkanoa	canua	ekanooe		ekaneai			ẽkãnə̃ãĩ		kaŋa	kaŋa	kanɨa	kanėa			meaning1855vR 'black'	14								
celestial objects	bulan	moon	mona			mona	moena		muna											ekãmũnãĩyõ								note1987K: archaic	5								
celestial objects	bulan	moon																		ekiʔunã									1								
celestial objects	gerhana bulan	moon eclipse													apoj lŏfŏ														1								
quantity	lebih	more										kiakikĕ	kiakika		hiakikĕ													meaning1895 'more, most'	3								
quantity	lebih	more													ma(k)aki(k)														1								
time	pagi	morning	nika-nika(?)			nieko nieko						namanikĕ	namanikĕ		namanihŏ													meaning1895 'early, soon'_note<1855&1855vdS: clipping of second part?	5								
time	waktu pagi	morning										pahamamana	pahamamana	pahemana										pahuman				meaning1891 'morning time'_note1891: 6 a.m.	4								
	lesung	mortar													èpahjoe		epahyu			ẽ-pã́ĩhũ					epaiyh			meaning1895 'rice pounder, mortar'	4								
	lesung	mortar																		e-padau									1								
	nyamuk	mosquito	kiea			kiea					kièjèja			echia	kiija					e-kiʔao				kiʔia	ki'ia				8								
	gigitan nyamuk	mosquito bite										èoefoek²ĕ	èopoeko		èoepoekŏ													meaning1895 'mosquito'	3								
kinship	ibu	mother						naina		naina		naè	naè	nai	naè(na)		nai			nãẽ					nai				9								
kinship	ibu	mother		oeka bioe	kabijoe		ka-beah		kabea																				4								
kinship	ibu	mother													ĕmak							maq'aq	maq'aq	maʔ				loanword from Javanese?	4								
	ibu	mother										kahok²	kahok²																2								
	burik	mottled										kahéĕhéĕ	kahéĕhéĕ																2								
natural objects	gunung	mountain	kakoa			kakko	koh	ekohe		ekohé	koh	èkoh(oi)	èkoh(oi)	ecòho	èkŏhŏ, èkŏhoi		kehe	koh(oi)		e-kohoi		Ekēh	Ekēh	kɘx	kėh			meaning1879&1891 'hill, mountain'_meaning1888 'peak'_meaning1982 'mouth'_note1895: first word means 'mountain', second word means 'mountain, hill'_note1888: inferred from names of hills	17								
natural objects	gunung	mountain					pawah																						1								
natural objects	gunung	mountain																		e-kaɨhɨiʧia									1								
natural objects	gunung	mountain													karahāhŏ														1								
body parts	mulut	mouth	kaha			ko-a		e ka		ékā		èkaa	èkaa	eca	èkāā		ka	kaa̲		e-kaʔa		kaqaq	kaqaq	kaʔ	ka			meaning1982 'name'_cf. edge, tooth	15								
body parts	mulut	mouth					okoe-diepoh		oku																				2								
body parts	mulut	mouth			hawie																								1								
	pindah (int.)	move (intr.)										faihak²	paihak²																2								
	pindah	move (on, away)										fahjě	fahjě																2								
activities	pindah rumah	move house										èodöda	èodöda	adəda															3								
	pindah rumah	move house												kadəda															1								
	pindah rumah	move house												ododa															1								
	gerakkan tubuh bagian ke depan dan ke belakang	move upper body back and forth																		aduhe									1								
natural objects	lumpur	mud										kèlokèlo	kèlokèlo	canenoneno										ʔẽõ	ẽ'ẽõ				5								
	berlumpur	muddy										kalifolifo	kalipolipo											ka-leʔleʔ	kakedoke				4								
	berlumpur	muddy																						kaʔ-bibik	kabikbi(k)				2								
	mug ; mangkok	mug										èkamok²	èkamok²																2								
activities	komat-kamit	mumble													ahabèlo, balelo														1								
	kelurahan	municipality															anaik												1								
	kelurahan	municipality									karorieĕ																		1								
body parts	kumis	mustache					poeroe-diepoh																						1								
	bisu	mute										kipĕraèdiok², kifalaièlio	kipĕraèriok², kiparaièdio	chiparadío	kifalai èbeo, kipĕrai èdio														4								
	tolong-menolong	mutual help between individuals															paho'ahai												1								
	gotong-royong	mutual help between many people															pahitaruai												1								
	milikku	my										-ka	-ka	eharu	èai					-ka				haruʔ					6								
	milikku	my																-ʔu		-ʔu									2				*=ku	I (1sg.gen1)	Ross 2002:36	Lafeber 1922:21,26 Edwards 2015:71-72	with an echo vowel (discussed in Edwards 2015:59), cf. Mentawai -ku, Nias -gu (Lafeber 1922:26)
tools	paku	nail (tool)					ko-anie					èii	èii																3								
	telanjang	naked										èkakkak²	èkakkak²											tanaia	tanaia			cf. person	4								
	telanjang	naked										èkadaha	èkadaha																2								
	telanjang	naked										kakoedaoedarah	kakoedaoedarah																2								
	nama	name										niĕ	niĕ	niène	nioennā tīō		niyemu	niə		enĩə̃	[e]nĩə̃	ni	ni	ni	ni			meaning1982 'throat'	11								
body parts	tengkuk	nape						hoekaha				èokahaĕ	èokahaĕ	heucaa	èokahaĕ			okahaqe		eukahã́ũ, ehukahãõ	[e]ukahã́ũ							meaning1982 'new'	7								
size	sempit	narrow													kikoeoekă							kēqēkh	kēqēkh	kɨ-ʔɨk				meaning1895 'small, narrow'	4								
size	sempit	narrow						noekie foho		noekie foho																		note: literal meaning is 'little wide'	2								
size	sempit	narrow										kimoemoehĕ	kimoemoehĕ		kimoemoehĕ													meaning1895 'small, narrow'	3								
	nakal	naughty										kahak²èk²	kahak²èk²																2								
	mual	nauseous																						paiɘʔoi	kipaiyo'oi				2								
body parts	pusar	navel										èfoekĕ	èpoekĕ	epuco	èfoekĕ, èpoekŏ					e-puko				puk	puk			cf. umbilical cord & inside_meaning1891&1895 'navel, umbilical cord'_meaning1987K 'interior, base, depth, navel'_note1987K: Kähler also glosses e-poko, which actually means 'inside', as 'navel'	7	?			*pusəj / *bətəŋ	navel / belly	ACD	Lafeber 1922:21, Edwards 2015:94-97	it is not clear at this stage what the etymon of this word is, it might involve semantic shift from 'belly' to 'navel/umbilical cord', the PMP etymon *pusəj is actually PWMP; possible semantic interference from *pusej/*beteŋ > e-puko 'inside' possible
distance	di dekat	near			panenema	panonema						fanènak²	fanènak²	panéna	fanèna, panè					pãnẽẽ		pane	pane	pane	pane			meaning1895 'nearby'	11								
body parts	leher	neck										èoek²	èoek²	eiú						ẽũʔũ	[ẽ]ũʔũ							meaning1987K 'neck, stem, stalk'	4								
body parts	leher	neck	foe-à-noh			tioeano	panoh										kanoake												4								
human objects	cincin leher	neck ring					khi-kah													èoek²									2								
	kalung	necklace										èkikĕ	èkikĕ											kĩk	ekĩk				4								
	jarum	needle										oekoei	oekoei	eparòpa						e-(pa)(ʔ)ukui				iaru	yaru			note1987K: lit. 'for piercing'_note2011: loanword jarum	6								
tools	jarum	needle					koh-ie													e-ekeho								Kähler lit. 'for piercing'	2								
	jarum	needle																		e-(pa-)iʧiʔa								lit. 'for sewing'	1								
	jarum untuk jaring	needle for nets												eparopa															1								
	lalai	negligent										kikaaboe	kikaaboe																2								
kinship	keponakan	nephew/niece															karaha'a												1								
kinship	keponakan	nephew/niece						laho				laho, labo	laho, labo		èlahŏ					edahao								meaning1895 'cousin, niece'_note1891: first word means 'nephew/niece', second word means 'cousin'	5								
	sarang	nest										èfödiĕ	èfödiĕ		èfōdiĕ, èoefĕdieĕ														3								
tools	jaring	net					khaboh							ecabu[aio]						ekabo	[e]kabo (II)							meaning1894 'fishing net'	3								
	baru	new															kipehe												1								
	baru	new										noonninĕ	noonninĕ		nŏoninĕ			nōninə										meaning1982 'night'	4								
	baru	new																				aqu	kaqu	ka-ʔu					3								
	baru	new													pōbōdā					epoʔituda									2								
	kediaman baru	new residence												eadədáha														cf. move house	1								
people	anak baru lahir	newborn child																		ahibio								lit. ""which is to be burned"" (Kähler 1975:VI)	1								
	pendatang	newcomer															ko'mai							koʔmai	komay				3								
	julukan	nickname													kapapo ĕ														1								
time	malam	night					ko-assaij[-loppoh]	lako aisje			kohajĕ, kokajĕ	koahjĕ	koahjĕ	coahia	koahjĕ	koahie(j)a, koahie(j)ĕ	[da]koaihya		ko'ʔa͜eç, ko'ʔaç	kakoʔa͜ixa [edopo], koʔa͜ixa		karpo'aS̄	karpo'as̄	karkoʔoaix	karko'eh, ko'eh			meaning1916 'evening, night'_note: The literal meaning of this lexeme seems to be 'it gets dark'_note1864: This is the only word that is listed with s, possibly reflecting /ç/	15								
time	malam	night					kapohpoh[-loppoh]								kafŏ			põõ		ẽpȭ	pȭ							meaning1982 'not'	4	?			*bəRŋi	night	ACD	Edwards 2015:97, Kähler 1987:254	irregular *ŋ > Ø, irregular *i > /o/
time	malam	night	koleh[-lofoh]		tikodo [ilopo]	koli[lopo]																							3								
numerals	sembilan	nine	alima-afah		alimei äopa	lieba afa	aliebah ijoepah	aliema é afa	alieba-aoza	aliebe é afa				alime afa														note: The literal meaning is 'five and four'	8								
numerals	sembilan	nine										(i)baïkaïk	(i)baïkaïk		baikaik, ibaikaik					aba͜i kaha͜iʔi				kaba kahaiʔ	kaba kaha'i			note: The literal meaning is 'one is coming'	6	*um-a(R)i + *(i)sa + ?	come + one + ?	ACD	*um-aRi *(i)sa + ?	come + one + ?	ACD	Edwards 2015:79, Kähler 1940:189, 1987:113	abai 'is coming' + kahaiʔi 'one' = 'one more is coming', see those two words for etymology
numerals	sembilan ratus	nine hundred						adoea kododoka é aliema takka																					1								
numerals	sembilan belas	nineteen					kapoeloe aliebah ijoepah							cahafúlo alíme afa															2								
	sembilan belas	nineteen										kifa hoekjo baïkaik	kifa hoekjo baïkaik		kifahoekjo baikaik														3								
numerals	sembilan	ninety						afa takka é kahafoeloe		afa takka é kahafoeloe		afa takajo kifahoek	afa takajo kifahoek	afa taccá cahafúlo															5								
plants	pohon nipah	nipa palm				klokko					kokkok²									ekoʔokoʔo, ekõʔõ[kõʔõ]								meaning1855vdS 'k.o. wood'	3								
plants	pohon nipah	nipa palm													goela														1								
animals	telur kutu	nit													èmiekieĕ					emikiõ	[e]mĩkĩõ								2								
function words	bukan	no																		kéabaʔa				keʔpan	ke'pan, kep			meaning2011 'bukan'_note2019: first word polite, second word impolite:	3								
activities	mengangguk	nod													kaoewa(k)														1								
	bising	noisy										kifahauwĕ	kifahauwĕ																2								
	mengkudu	noni										èodoe	èoroe		èŏroe													meaning1891 'noni tree'_meaning1895 'Morinda atrocarpus, betel'	3								
time	siang	noon						paroheije		paroheije		parohaja	parohaja															12 p.m.	4								
body parts	hidung	nose	pano-pano		fanoe	pano	fanoh	e fano	fanoh	éfano		èfanoe	èpanoe	epanu	èfanoe, èpanoe		pan	fanu		ẽ-pãnũ		paŋ	panum	pan	epan			meaning1982 'one'_cf. neck	18								
function words	tidak	not				keba		kèwa	keba	kèwa		kèo	kèo	chèa	kèo		kea	ke̲abaʔa				kEq	kEq	keʔ	ke(o)			meaning1891 'there is not'_meaning1895 'no'_meaning1987 'no, not'_meaning2019 'belum'	14								
function words	tidak	not									mèmoe																		1								
function words	tidak	not										mahöna	mahöna															meaning1891 'no, not'	2								
movement	tidak sampai	not arrive												chèfe iabacó										ki-ʔiai	ke'yakė				3								
function words	bukanlah	not be																						keam	keab				2								
quantity	kurang	not enough				kafinai																							1								
function words	belum	not yet										kaoefèk²	kaoefèk²	capé	kaoefè(k)		kepe								kep				6								
function words	belum	not yet													māāfè														1								
	takik	notch										okok²oi	okok²oi																2								
	sumbing	notched										kionikak²	kionikak²																2								
	memelihara	nourish										faudĕ	(baha)paudĕ																2								
	sekarang	now						nooije				noo	noo	nóoni	nŏŏ									nɘʔɘn	nė'ėn			meaning1895 'now, at present'	7								
	dayung	oar	oedji			oedjie oedjie									èŏdjie									iuʔuis	yė'ic				5								
	mematuhi	obey										abakoewĕ	abakoewĕ																2								
	tengkuk	occiput										èokaha	èokaha																2								
	menawar	offer													koekèdia(k)													meaning1895 'offer, bargain'	1								
	sering	often																				ababa	ababa						2								
natural objects	minyak	oil					fiopoh					minjak	minjak	epihopò														H&P loanword	4								
human objects	pelita	oil lamp												ehaenui														meaning1894 'torch, oil lamp'	1								
human objects	pelita	oil lamp										èajahak²jobi	èajahak²jobi		eajaha(k) jobi														3								
human features	tua	old												capu	kafoe					kãpũ(ũ)								meaning1895 'old man'	3								
	tua	old					napoea-kah		napua																				2								
human features	tua	old													koeōdĕ					ka-buodo		duo	duo	iaʔdɘb				meaning1895 'old, worn'	5								
human features	tua	old						eá		éā		èaak	èaak		èaak														5	?			*ta-umpu	grandparent, grandchild	ACD	Edwards 2015:97-98	irregular *au > /a/; cf. *umpu > (ʔ)ũpũ
human features	tua	old													kifienè														1								
people	pria tua	old man						ekafoe		ekafoe																		meaning1895 'village elders'	2								
people	wanita tua	old woman						kaniejahe		kaniejahé																			2								
	kakak	older sibling						à à		à-à		[èhèie] èaak	[èhèie] èaak		èāāk		ade			eʔaʔa	[e]ʔaʔa							meaning1870&1879 'cousin'_note1891: This word literally means 'younger + older sibling'	7	*kaka	elder sibling	ACD	*kaka	elder sibling of same sex	ACD	Edwards 2015:94-97, ACD 9742, Kähler 1987:2	
	di sisi itu	on that side												maha io														cf. over there	1								
position	di sisi ini	on this side					mahatcè																					cf. here	1								
quantity	satu kali	once													kahanoeĕ														1								
plants	pohon nibung	Oncosperma tigillarium				eifa	eh-fah				èèfo																		3								
numerals	satu	one	hai	kahai	dahei	egaij	kaihie	kahaie	bahai	kahaie		kaik	kaik	cáic	kaik		kahae	kaik		kahaiʔi		kahakh	kahakh	kahaiʔ	kahaik			meaning1982 'red'	19	*(i)sa + ?	one + ?	ACD	*(i)sa + ?	one + ?	ACD	Edwards 2015:79	unclear second element, maybe something like 'thing' or 'stone' as in other Indonesian languages (Mal. satu < sa-batu, Jav. siji < sa-wiji, Nias sambua < sa-bua) (Krauße)
numerals	seribu lima ratus	one thousand five hundred						akoloe kododoka é kahafoeloe takka é aliema takka																					1								
numerals	seribu empat ratus	one thousand four hundred						akoloe kododoka é kahafoeloe takka																					1								
numerals	seribu seratus	one thousand one hundred						adoea kododoka é kahafoeloe takka é aliema takka																					1								
numerals	seribu enam ratus	one thousand six hundred						afa kododoka																					1								
numerals	seribu tiga ratus	one thousand three hundred						akoloe kododoka é aliema takka																					1								
numerals	seribu dua ratus	one thousand two hundred						akoloe kododoka																					1								
human features	bermata satu	one-eyed					ka-kénèh																						1								
	hanya	only													nŏ(k)a														1								
	hanya/saja	only												eia															1								
	keluar	ooze out																		k(i)abúe	abue							cf. flow	1								
	terbuka	open (a.)										koie	koie		koie									ka-uaua					4								
	terbuka	open (a.)																						pik				meaning2011 'open (a.), uncover'	1								
	terbuka	open (a.)																							dikėdeki				1								
activities	buka	open (v.)				boekai								bucae	poekai									puka	kahboka, kipukai, kėpuka			meaning1895&2011 'open, uncover'_note: is this a loanword?	5								
	lawan	opponent										farikak	farikak																2								
	seberang ; yang berlawanan	opposite										kahafa	kahafa																2								
abstract things	pesanan	order (n.)												chihiua comaná															1								
	memesan (v.)	order (v.)										fakoejak²	pakoejak²		[oewa] bakŏhāda													meaning1895 'delegate'_note1895: literal meaning 'I order'	3								
people	yatim piatu	orphan												cahóuca										daʔarah	dakrah				3								
	lainnya	other										mahöna	mahöna									aqm'eh	aqm'eh	kahaiʔ mɘh					5								
pronouns	milik kita	our (excl.)																-dai, -nãĩ											1								
pronouns	milik kita	our (incl.)																-kaʔa											1								
pronouns	milik kita	ours (incl.)												eharu										haruk				literal meaning 'our thing'	2								
	padam (api)	out (fire)										kioba	kioba																2								
	cadik	outrigger										èapodie	èapodie																2								
	cadik	outrigger										ènana	ènana																2								
position	di luar	outside										ikahaĕ, (ho) kahaĕ	ikahaĕ, (ho) kahaĕ		kahaĕ													note1891: first word means 'out there', second word means 'outside' (same root)	3								
	atas	over																		i-debe									1								
	atas	over																		i-tebe									1								
	atas	over																		y-apaua									1								
	di sana	over there																		i-taʔa								cf. on that side	1								
	kebesaran (pakaian)	oversized (clothes)																						ki-didix	kadidih				2								
animals	burung hantu	owl	loehoe			hoehoe	hoe-hoe				èoehoe							hũhũ		euʔuhū́, eʔuʔu	[e]uʔuhū́							meaning<1855&1855vdS 'pigeon'_meaning1864 'bird'_meaning1982 'man'	6								cf. Nias la-muhu~meu~mou (Lafeber 1922:21)
human objects	dayung	paddle (n.)	oedji		oetjie	oedjie oedjie		eodjie		eodjie		èodjie	èodjie	eògi	èŏdjie, èhaŏdjie									iuʔuis	yė'ic			meaning<1855&1855vdS 'oar'_meaning1855vR&1895 'row (v.)'_meaning1894 'paddle (n.), row (v.)'_meaning2011&2019 'oar'_note1895: first word means 'oar, paddle (n.)', second word means 'row (v.), pull'	11								
human objects	dayung	paddle (n.)													èoi														1								
	mengayuh	paddle (v.)													abaoi														1								
	rasa sakit pada gigi	pain in teeth										kakiaak²	kakiaak²															ngilu	2								
	bagian yang menyakitkan	painful part																		edado								cf. feel	1								
	pasangan	pair (n.)										fanakonĕ adoewĕ	panakonĕ adoewa																2								
body parts	langit-langit	palate													kinoe-oeka, kīnoeoekă					ekinũˀũkã	[e]kinũˀũkã							note1895: first word means 'palate', second word means 'throat'	2								
	pucat	pale										kifak²a	kifak²a																2								
body parts	telapak tangan	palm (of hand)										hèoafĕ	hèoapok²		hèoafĕ, hèoapo														3								
	daun palem	palm leaf										inono èèfĕ	inono èèfo																2								
plants	pohon palem	palm tree					abèhah																						1								
plants	pandan	pandanus													inima	inima				ẽ-ʔãnĩmãẽ, ẽ-ʔãnĩmãõ, ẽ-ʔãnũmãẽ				ʔanima					4								
plants	pepaya	papaya										kabaèlo	kabaèlo											kaper	kapaer				4								
human objects	kertas	paper																						parna	parna			loanword kertas?	2								
animals	parkit	parakeet	kaka		kaka	kakka																						or parrot?	3								
	lumpuh	paralyzed													kiŏnŏk									kĩ-ʔĩɘ	kioyo'on				3								
	burung beo (hijau)	parrot (green)													èāhā					eʔahã́ĩ								meaning1895 'parakeet, budgerigar (burung bayan)'	2								
	bagian	part										amaèha	amaèha																2								
	melalui ; melewati (waktu)	pass (time)																		kabaha͜e									1								
	lewat	pass by										wakidohè	wakidohè															lewat	2								
	tambal ; tempel	patch (v.)										kiafak²	kiafak²																2								
human features	sabar	patient												cheoba puhai pahua															1								
	membayar	pay										oefè	oepè		[oeahaub]oepèĕ													note1895: first element unclear	3								
abstract things	perdamaian	peace										korowa	korowa		kekŏrŏ ĕ									iakoro	yakoro				5								
abstract things	perdamaian	peace									kabibaka																		1								
	mematuk	peck										kidji	kidji																2								
	sirip dada	pectoral fin										foedarie	poedarie																2								
	pedal/pijak	pedal																						ʔi	i				2								
	kulit buah	peel (n.)													èoelie hoewĕdiĕ														1								
	terkupas	peeled										kafai	kapai															kupas	2								
	pensil	pencil																						pitoroʔ	pitoro				2								
body parts	penis	penis	pfoeai																	epue									2								
body parts	penis	penis													hèla poewe					eheda upuo								first part means 'meat, flesh'	2								
body parts	penis	penis																		epuo									1								
	perimeter	perimeter										dididikik²	dididikik²															lilit	2								
